## net.sf.picard.metrics.StringHeader
# net.sf.picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=./LB-116cf/LB-116cf.mis.10.bam.insertsize.pdf INPUT=./LB-116cf/LB-116cf.mis.10.bam OUTPUT=./LB-116cf/LB-116cf.mis.10.bam.insertsize.txt VALIDATION_STRINGENCY=LENIENT    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Sun Dec 03 15:19:57 CST 2023

## METRICS CLASS	net.sf.picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
137	31	19	318	139.28115	48.928859	7793	FR	13	25	37	49	63	77	93	117	167	281			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
19	10
20	7
21	1
22	9
23	15
24	4
25	6
27	12
28	7
29	11
30	1
31	1
32	12
33	6
34	9
35	1
36	8
37	8
38	1
39	33
41	10
42	9
43	15
44	9
45	19
46	7
47	13
48	8
49	8
50	11
51	7
52	9
53	9
54	11
55	10
56	12
57	7
58	17
59	9
60	8
61	10
62	9
63	11
64	12
65	10
66	11
67	9
68	14
69	12
70	50
71	23
72	28
73	13
74	16
75	18
76	29
77	21
78	24
79	25
80	33
81	26
82	28
83	34
84	61
85	38
86	37
87	43
88	39
89	35
90	44
91	43
92	48
93	41
94	42
95	57
96	48
97	52
98	40
99	60
100	72
101	57
102	55
103	52
104	55
105	56
106	45
107	56
108	64
109	57
110	55
111	44
112	53
113	60
114	62
115	55
116	48
117	66
118	68
119	67
120	66
121	65
122	64
123	69
124	65
125	60
126	59
127	70
128	58
129	55
130	70
131	71
132	64
133	67
134	57
135	87
136	67
137	72
138	61
139	63
140	63
141	64
142	68
143	81
144	64
145	51
146	53
147	75
148	73
149	56
150	55
151	75
152	64
153	50
154	58
155	61
156	58
157	75
158	67
159	69
160	80
161	79
162	74
163	73
164	54
165	57
166	61
167	64
168	67
169	57
170	52
171	48
172	45
173	55
174	63
175	53
176	43
177	48
178	57
179	53
180	47
181	29
182	39
183	39
184	38
185	23
186	26
187	29
188	25
189	23
190	22
191	25
192	20
193	30
194	28
195	22
196	20
197	23
198	22
199	19
200	16
201	19
202	21
203	10
204	12
205	13
206	16
207	12
208	24
209	19
210	9
211	8
212	14
213	14
214	12
215	13
216	15
217	4
218	14
219	13
220	12
221	8
222	11
223	17
224	13
225	11
226	7
227	14
228	12
229	9
230	14
231	10
232	8
233	6
234	8
235	7
236	11
237	4
238	9
239	5
240	7
241	5
242	9
243	4
244	8
245	5
246	7
247	3
248	9
249	1
250	5
251	2
252	6
253	7
254	12
255	8
256	10
257	6
258	4
259	8
260	4
261	11
262	8
263	4
264	1
265	8
266	6
267	3
268	4
269	5
270	5
271	5
272	4
273	2
274	5
275	4
276	3
277	4
278	2
279	2
280	1
281	4
282	5
283	2
284	2
285	6
286	6
287	1
288	3
289	4
290	1
292	3
293	5
294	4
295	1
297	1
298	2
299	1
300	2
301	5
303	1
304	1
305	1
306	2
309	1
310	1
311	1
314	1
316	1
318	1

